STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,HLY-CLOD-PCTCLR,HLY-CLOD-PCTOVC,HLY-DEWP-NORMAL,HLY-HIDX-NORMAL,HLY-TEMP-NORMAL,HLY-WIND-AVGSPD,HLY-WIND-VCTDIR,HLY-WIND-VCTSPD
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 01:00,322.0,444.0,20.2,30.3,30.3,12.4,284.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 02:00,338.0,454.0,20.1,30.0,30.0,12.4,283.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 03:00,342.0,461.0,20.2,29.8,29.8,12.5,286.0,7.2
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 04:00,352.0,460.0,20.1,29.5,29.5,12.5,287.0,7.2
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 05:00,332.0,458.0,20.0,29.3,29.3,12.5,287.0,7.2
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 06:00,274.0,452.0,19.9,29.3,29.3,12.4,286.0,7.1
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 07:00,198.0,444.0,19.8,29.2,29.2,12.3,290.0,7.1
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 08:00,170.0,434.0,19.9,29.5,29.5,12.5,287.0,7.0
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 09:00,161.0,448.0,20.1,30.7,30.7,12.7,289.0,7.3
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 10:00,147.0,463.0,20.2,32.0,32.0,12.9,289.0,7.6
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 11:00,133.0,463.0,20.4,33.2,33.2,13.2,292.0,8.0
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 12:00,141.0,458.0,20.7,34.5,34.5,13.4,290.0,7.8
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 13:00,113.0,492.0,20.9,35.3,35.3,13.6,286.0,7.7
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 14:00,124.0,458.0,20.8,35.9,35.9,13.5,288.0,7.7
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 15:00,143.0,468.0,20.9,35.8,35.8,13.6,286.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 16:00,143.0,452.0,20.8,35.2,35.2,13.3,288.0,6.9
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 17:00,158.0,463.0,20.9,34.3,34.3,12.8,287.0,6.7
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 18:00,234.0,443.0,20.9,33.7,33.7,12.9,285.0,6.6
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 19:00,268.0,463.0,20.8,33.2,33.2,12.9,284.0,6.7
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 20:00,273.0,474.0,20.6,32.6,32.6,13.2,282.0,7.2
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 21:00,286.0,470.0,20.5,32.0,32.0,13.0,283.0,7.3
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 22:00,295.0,461.0,20.4,31.5,31.5,12.8,286.0,7.5
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100101 23:00,309.0,446.0,20.1,31.0,31.0,12.7,286.0,7.5
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 00:00,321.0,444.0,19.0,29.9,29.9,12.9,284.0,7.8
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 01:00,314.0,452.0,19.8,30.0,30.0,12.5,285.0,7.5
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 02:00,326.0,458.0,19.7,29.7,29.7,12.4,284.0,7.5
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 03:00,336.0,457.0,19.8,29.5,29.5,12.6,286.0,7.3
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 04:00,348.0,460.0,19.8,29.2,29.2,12.5,286.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 05:00,326.0,460.0,19.7,29.0,29.0,12.6,287.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 06:00,278.0,462.0,19.6,29.0,29.0,12.5,286.0,7.2
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 07:00,191.0,455.0,19.5,28.9,28.9,12.3,290.0,7.3
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 08:00,163.0,445.0,19.6,29.3,29.3,12.5,288.0,7.1
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 09:00,168.0,448.0,19.8,30.4,30.4,12.7,289.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 10:00,156.0,460.0,19.9,31.7,31.7,13.0,288.0,7.6
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 11:00,135.0,467.0,20.1,33.0,33.0,13.3,292.0,8.1
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 12:00,141.0,458.0,20.5,34.2,34.2,13.5,290.0,7.9
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 13:00,113.0,486.0,20.7,35.1,35.1,13.6,286.0,7.8
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 14:00,123.0,453.0,20.6,35.6,35.6,13.6,288.0,7.8
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 15:00,140.0,468.0,20.7,35.6,35.6,13.6,286.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 16:00,133.0,451.0,20.6,35.0,35.0,13.3,288.0,6.9
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 17:00,151.0,458.0,20.7,34.2,34.2,12.8,287.0,6.6
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 18:00,227.0,431.0,20.8,33.5,33.5,12.8,286.0,6.5
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 19:00,265.0,454.0,20.6,33.0,33.0,12.8,286.0,6.7
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 20:00,264.0,479.0,20.4,32.4,32.4,13.0,283.0,7.1
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 21:00,277.0,477.0,20.3,31.8,31.8,12.9,284.0,7.3
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 22:00,286.0,464.0,20.2,31.3,31.3,12.7,286.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100102 23:00,304.0,460.0,20.0,30.9,30.9,12.7,287.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 00:00,315.0,463.0,19.0,29.7,29.7,12.8,286.0,7.5
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 01:00,305.0,472.0,19.7,29.9,29.9,12.4,286.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 02:00,319.0,469.0,19.6,29.5,29.5,12.3,285.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 03:00,333.0,461.0,19.6,29.3,29.3,12.4,288.0,7.3
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 04:00,346.0,466.0,19.5,29.0,29.0,12.5,288.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 05:00,317.0,463.0,19.4,28.8,28.8,12.6,288.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 06:00,279.0,463.0,19.4,28.8,28.8,12.3,288.0,7.2
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 07:00,195.0,454.0,19.3,28.7,28.7,12.2,291.0,7.2
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 08:00,163.0,451.0,19.4,29.0,29.0,12.4,289.0,7.0
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 09:00,167.0,446.0,19.6,30.1,30.1,12.7,290.0,7.3
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 10:00,159.0,459.0,19.7,31.5,31.5,12.9,289.0,7.5
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 11:00,133.0,466.0,20.0,32.7,32.7,13.3,293.0,8.0
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 12:00,139.0,461.0,20.3,34.0,34.0,13.4,290.0,7.9
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 13:00,109.0,492.0,20.5,34.9,34.9,13.5,286.0,7.8
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 14:00,122.0,445.0,20.4,35.4,35.4,13.5,288.0,7.7
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 15:00,140.0,465.0,20.5,35.4,35.4,13.6,286.0,7.4
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 16:00,135.0,449.0,20.4,34.8,34.8,13.2,288.0,7.0
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 17:00,158.0,459.0,20.4,34.0,34.0,12.8,287.0,6.6
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 18:00,236.0,440.0,20.5,33.3,33.3,12.7,286.0,6.5
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,20100103 19:00,277.0,449.0,20.4,32.8,32.8,12.7,285.0,6.6
