iter	Passed	Remaining
0	1	8177
1	2	6323
2	3	5758
3	4	5272
4	5	5252
5	6	5157
6	6	4883
7	7	4728
8	8	4568
9	9	4542
10	9	4512
11	11	4648
12	12	4873
13	13	4796
14	14	4765
15	15	4747
16	16	4795
17	17	4717
18	17	4650
19	18	4590
20	19	4526
21	19	4483
22	20	4444
23	21	4369
24	21	4290
25	22	4246
26	22	4191
27	23	4135
28	23	4085
29	24	4069
30	25	4084
31	26	4052
32	26	4036
33	27	4023
34	28	4022
35	28	3997
36	29	3959
37	30	3924
38	30	3905
39	31	3889
40	31	3858
41	32	3835
42	33	3819
43	33	3798
44	34	3780
45	34	3747
46	35	3726
47	35	3710
48	36	3683
49	36	3658
50	37	3632
51	38	3621
52	38	3603
53	39	3579
54	39	3581
55	40	3593
56	41	3601
57	42	3622
58	43	3625
59	43	3616
60	44	3613
61	45	3617
62	46	3636
63	47	3628
64	47	3614
65	48	3596
66	48	3585
67	49	3566
68	49	3548
69	50	3531
70	50	3522
71	51	3513
72	51	3500
73	52	3487
74	52	3476
75	53	3463
76	53	3447
77	54	3432
78	54	3420
79	55	3437
80	56	3439
81	57	3435
82	57	3430
83	58	3426
84	59	3421
85	59	3409
86	60	3397
87	60	3382
88	61	3380
89	61	3380
90	62	3369
91	63	3362
92	63	3359
93	64	3358
94	64	3351
95	65	3345
96	66	3344
97	66	3339
98	67	3345
99	68	3337
100	68	3333
101	69	3328
102	69	3325
103	70	3320
104	71	3314
105	71	3308
106	72	3302
107	72	3295
108	73	3295
109	74	3292
110	74	3286
111	75	3283
112	75	3280
113	76	3277
114	77	3274
115	77	3270
116	78	3263
117	78	3259
118	79	3256
119	79	3251
120	80	3248
121	81	3243
122	81	3248
123	82	3246
124	83	3242
125	83	3237
126	84	3237
127	85	3236
128	85	3235
129	86	3230
130	86	3226
131	87	3225
132	88	3223
133	88	3221
134	89	3226
135	90	3226
136	90	3223
137	91	3222
138	92	3219
139	92	3216
140	93	3217
141	93	3213
142	94	3205
143	94	3202
144	95	3205
145	96	3201
146	96	3197
147	97	3193
148	98	3190
149	98	3187
150	99	3184
151	99	3179
152	100	3174
153	100	3170
154	101	3167
155	101	3163
156	102	3160
157	103	3159
158	103	3158
159	104	3161
160	105	3167
161	106	3170
162	106	3174
163	107	3178
164	108	3175
165	108	3171
166	109	3167
167	110	3165
168	110	3161
169	111	3164
170	111	3159
171	112	3156
172	113	3154
173	113	3149
174	114	3145
175	114	3141
176	115	3142
177	115	3141
178	116	3138
179	117	3135
180	117	3133
181	118	3133
182	119	3134
183	119	3137
184	120	3139
185	121	3138
186	121	3137
187	122	3133
188	123	3131
189	123	3128
190	124	3127
191	124	3123
192	125	3121
193	125	3119
194	126	3116
195	127	3113
196	127	3110
197	128	3107
198	128	3107
199	129	3109
200	130	3107
201	130	3104
202	131	3105
203	132	3104
204	132	3102
205	133	3099
206	133	3097
207	134	3093
208	134	3093
209	135	3097
210	136	3098
211	137	3103
212	138	3106
213	138	3105
214	139	3104
215	140	3104
216	140	3103
217	141	3101
218	142	3104
219	142	3105
220	143	3103
221	144	3104
222	144	3104
223	145	3105
224	146	3103
225	146	3100
226	147	3102
227	148	3102
228	148	3100
229	149	3099
230	150	3097
231	150	3095
232	151	3093
233	151	3093
234	152	3092
235	153	3090
236	153	3090
237	154	3088
238	155	3089
239	155	3085
240	156	3082
241	156	3082
242	157	3080
243	157	3077
244	158	3076
