zipcode,Year,flood_count,max_severity,median_dead,median_displaced,median_duration,median_area,zipcode_3area,flood_count_total_10,max_severity_avg_10,median_dead_avg_10,median_displaced_avg_10,median_duration_avg_10,median_area_avg_10,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
01749,2018,1,1.5,0.0,0.0,2.0,5095.45,017,1.0,1.5,0.0,0.0,2.0,5095.45,6.2,468.17,230.13,164.19
03448,2005,1,2.0,11.0,3000.0,9.0,38291.77,034,1.0,2.0,11.0,3000.0,9.0,38291.77,0.5,122.27,,
03903,2006,1,2.0,1.0,2500.0,11.0,42910.99,039,1.0,2.0,1.0,2500.0,11.0,42910.99,3.83,314.67,214.37,164.46
05680,2002,1,1.0,0.0,0.0,2.0,11377.32,056,2.0,1.5,0.0,0.0,2.0,6344.38,5.12,105.12,,
06023,1992,1,1.0,0.0,250.0,1.0,4609.14,060,1.0,1.0,0.0,250.0,1.0,4609.14,,100.0,,94.52
07753,2011,1,2.0,20.0,370000.0,17.0,252912.89,077,1.0,2.0,20.0,370000.0,17.0,252912.89,-7.22,562.36,194.21,161.89
08088,2004,1,2.0,0.0,500.0,3.0,2441.81,080,1.0,2.0,0.0,500.0,3.0,2441.81,14.87,395.73,163.53,144.36
08068,2016,1,1.5,8.0,0.0,3.0,12448.8,080,2.0,1.75,4.0,250.0,3.0,7445.304999999999,-2.62,168.88,,149.08
10506,2018,1,1.5,0.0,0.0,4.0,7688.76,105,1.0,1.5,0.0,0.0,4.0,7688.76,8.49,208.88,,136.77
14561,2002,1,2.0,0.0,0.0,2.0,5261.39,145,1.0,2.0,0.0,0.0,2.0,5261.39,1.63,127.62,,104.15
17036,2018,1,1.5,1.0,0.0,1.0,25377.62,170,1.0,1.5,1.0,0.0,1.0,25377.62,4.3,265.31,187.85,152.03
18702,2002,1,1.0,0.0,0.0,2.0,654.578,187,1.0,1.0,0.0,0.0,2.0,654.578,0.53,247.43,137.86,111.84
19061,2003,1,1.0,0.0,200.0,1.0,2826.32,190,1.0,1.0,0.0,200.0,1.0,2826.32,6.58,299.18,129.4,121.21
19144,1998,1,1.0,0.0,124.0,2.0,15355.36,191,1.0,1.0,0.0,124.0,2.0,15355.36,-2.1,265.62,105.49,86.42
19142,2012,1,2.0,65.0,0.0,5.0,293995.06,191,2.0,1.5,32.5,62.0,3.5,154675.21,1.27,368.78,182.13,161.46
19355,1991,1,1.0,0.0,200.0,2.0,2578.11,193,1.0,1.0,0.0,200.0,2.0,2578.11,-1.12,243.48,98.88,81.71
