STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070101 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070101 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070201 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070201 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070301 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070301 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070401 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070401 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070501 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070501 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070601 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070601 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070701 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070701 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070801 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070801 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070901 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20070901 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20071001 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20071001 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20071101 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20071101 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20071201 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20071201 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080101 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080101 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080201 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080201 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080301 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080301 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080401 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080401 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080501 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080501 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080601 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,277.4,42.43333,-72.03333,20080601 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,253,42.42806,-72.02722,20080701 00:00,999.99,], 
COOP:190408,BARRE FALLS DAM MA US,253,42.42806,-72.02722,20080701 01:00,999.99,[, 
COOP:190408,BARRE FALLS DAM MA US,253,42.42806,-72.02722,20080801 00:00,999.99,], 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120801 01:00,0.00,g, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120801 02:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120801 15:00,0.54, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120801 16:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120802 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120805 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120805 19:00,0.06, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120805 20:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120805 23:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120806 00:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120810 15:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120810 16:00,0.07, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120810 17:00,0.20, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120810 18:00,0.57, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120810 19:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120812 05:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120812 06:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120812 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120815 08:00,0.64, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120815 09:00,0.10, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120815 21:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120815 22:00,0.06, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120815 23:00,0.07, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120816 00:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120816 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120817 22:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 00:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 02:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 05:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 06:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 08:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 09:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 10:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 11:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 12:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 14:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 15:00,0.06, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 16:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 17:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 18:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 19:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120819 02:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120821 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120821 08:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 01:00,0.10, , 
