ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,zipcode
9,0,USA,0,-85.1742,40.6691,210527.96,1985-02-22,1985-03-01,News,7,2250,Rain and snowmelt,2.0,46781
11,0,USA,0,-89.5537,40.6814,26266.14,1985-03-03,1985-03-08,News,4,2400,Rain and snowmelt,2.0,61611
12,0,USA,0,-108.093,35.3824,26527.13,1985-03-13,1985-03-14,News,0,80,Rain and snowmelt,1.0,87045
13,0,USA,0,-96.7845,29.6044,141508.0,1985-03-14,1985-03-15,News,0,0,Heavy rain,1.0,78962
14,0,USA,0,-83.5377,42.0122,16883.54,1985-03-30,1985-03-31,News,0,300,Heavy rain,1.0,48159
16,0,USA,0,-96.8425,28.5802,17192.76,1985-04-11,1985-04-12,News,1,200,Heavy rain,1.0,77990
18,0,USA,0,-87.8805,46.4938,5123.72,1985-04-24,1985-04-25,News,0,400,Rain and snowmelt,2.0,49814
19,0,USA,0,-105.275,34.8628,116344.02,1985-05-11,1985-05-12,News,2,0,Heavy rain,1.0,88321
20,0,USA,0,-66.706,18.2291,1423.92,1985-05-19,1985-05-20,News,2,4500,Heavy rain,1.0,00641
24,0,USA,0,-99.4494,33.6977,83470.44,1985-06-05,1985-06-06,News,6,100,Heavy rain,1.0,76380
25,0,USA,0,-96.1011,36.3581,9865.44,1985-06-10,1985-06-11,News,0,320,Heavy rain,2.0,74070
31,0,USA,0,-80.5923,38.9381,24269.06,1985-07-09,1985-07-10,News,2,200,Torrential rain,1.0,26412
37,0,USA,0,-85.7798,34.4872,2440.1,1985-07-24,1985-07-25,News,0,100,Heavy rain,1.0,35986
39,0,USA,0,-105.091,41.6853,17922.86,1985-08-02,1985-08-03,News,12,0,Torrential rain,2.0,82210
46,0,USA,0,-82.3489,28.5438,73968.61,1985-08-30,1985-09-05,News,4,1000000,Tropical cyclone,1.0,34601
50,0,USA,0,-83.8824,43.242,3235.32,1985-09-06,1985-09-09,News,0,160,Torrential rain,2.0,48417
57,0,USA,0,-66.635,18.2233,7219.8,1985-10-06,1985-10-08,News,99,6200,Tropical cyclone,1.0,00664
62,0,USA,0,-98.6949,31.7526,61286.27,1985-10-19,1985-10-21,News,3,0,Heavy rain,1.0,76432
64,0,USA,0,-90.0003,29.542,9355.65,1985-10-26,1985-10-30,News,0,400000,Tropical cyclone,2.0,70083
65,0,USA,0,-78.4543,38.837,57867.01,1985-11-01,1985-11-09,News,54,18000,Heavy rain,2.0,22652
69,0,USA,0,-82.8186,42.6864,2796.82,1985-12-30,1985-12-31,News,0,100,Heavy rain,1.0,48051
70,0,USA,0,-116.954,44.0047,1742.13,1986-01-01,1986-01-06,News,0,100,Ice jam/break-up,1.0,83619
72,0,USA,0,-121.38,39.2816,88717.35,1986-02-12,1986-02-27,News,18,30000,Torrential rain,2.0,95918
74,0,USA,0,-87.8814,45.0248,4321.14,1986-03-27,1986-04-05,News,2,496,Ice jam/break-up,1.0,54157
79,0,USA,0,-89.8357,37.2733,6447.33,1986-05-15,1986-05-15,News,3,0,Torrential rain,1.0,63785
81,0,USA,0,-97.2966,32.4344,5256.42,1986-05-24,1986-05-24,News,3,100,Torrential rain,1.0,76059
83,0,USA,0,-79.7424,40.604,1700.14,1986-05-30,1986-05-31,News,8,10,Torrential rain,1.0,15014
84,0,USA,0,-97.8369,29.6932,26949.32,1986-05-31,1986-06-11,News,10,3500,Torrential rain,1.0,78638
87,0,USA,0,-94.1582,31.1451,25821.21,1986-06-27,1986-06-30,News,1,1000,Tropical cyclone,1.0,75931
88,0,USA,0,-94.9169,41.7178,6985.68,1986-07-01,1986-07-02,News,1,640,Heavy rain,2.0,50025
97,0,USA,0,-88.2263,42.894,6562.47,1986-08-06,1986-08-06,News,1,250,Torrential rain,1.0,53103
100,0,USA,0,-81.5473,34.3153,3757.12,1986-08-18,1986-08-21,News,2,125,Heavy rain,1.0,29108
102,0,USA,0,-102.223,31.9611,49574.37,1986-09-02,1986-09-05,News,3,0,Heavy rain,1.0,79765
104,0,USA,0,-84.4959,43.1135,53960.13,1986-09-09,1986-09-17,News,6,4000,Torrential rain,2.0,48807
105,0,USA,0,-107.522,48.0263,49214.9,1986-09-25,1986-10-05,News,1,700,Heavy rain,2.0,59538
107,0,USA,0,-90.6864,38.8855,107660.8,1986-09-26,1986-10-13,News,10,55000,Heavy rain,2.0,63366
113,0,USA,0,-122.012,47.6776,26882.0,1986-11-23,1986-11-26,News,0,2000,Rain and snowmelt,2.0,98053
127,0,USA,,-69.4556,44.7173,39618.48,1987-03-31,1987-04-09,News,5,5000,Snowmelt,2.0,04922
133,0,USA,0,-95.2617,40.5924,36413.61,1987-05-26,1987-05-30,News,2,2200,Torrential rain,2.0,51647
137,0,USA,0,-82.6341,40.5807,11883.86,1987-07-02,1987-07-03,News,0,2100,Heavy rain,2.0,44904
142,0,USA,0,-98.7832,29.9247,999.46,1987-07-17,1987-07-17,News,9,0,Heavy rain,2.0,78013
150,0,USA,0,-75.9401,40.4228,12008.56,1987-09-08,1987-09-09,News,1,120,Heavy rain,1.0,19605
161,0,USA,0,-90.0017,35.3657,16161.0,1987-12-25,1987-12-29,News,3,6000,Heavy rain,2.0,38053
162,0,USA,0,-157.782,21.3825,385.696,1988-01-01,1988-01-02,News,0,2800,Heavy rain,1.0,96744
165,0,USA,0,-90.22,30.6473,2708.65,1988-02-01,1988-02-04,News,3,0,Heavy rain,1.0,70437
247,0,USA,0,-82.4462,27.7659,6517.48,1988-09-06,1988-09-09,News,7,1000,Heavy rain,2.0,33572
283,0,USA,0,-80.5875,25.9628,25065.05,1989-02-01,1989-02-02,News,7,4000,Torrential rain,1.0,33332
287,0,USA,0,-79.6533,38.0302,31247.12,1989-02-11,1989-02-13,News,7,17000,Heavy rain,1.0,24460
288,0,USA,0,-111.949,33.0264,2609.29,1989-02-13,1989-02-18,News,5,0,Heavy rain,1.0,85138
295,0,USA,0,-91.3226,32.5555,100390.64,1989-03-29,1989-04-01,News,1,0,Heavy rain,1.0,71286
292,0,USA,0,-82.0067,39.8812,2594.47,1989-03-18,1989-03-27,News,15,0,Heavy rain,1.0,43771
294,0,USA,0,-95.0101,38.3888,10933.94,1989-03-26,1989-04-11,News,3,0,Heavy rain,1.0,66072
298,0,USA,0,-120.672,43.819,154568.76,1989-04-09,1989-04-19,News,45,306000,Heavy rain,2.0,97712
301,0,USA,0,-95.4192,31.6443,185647.99,1989-05-15,1989-05-20,News,6,400,Heavy rain,1.0,75839
372,0,USA,0,-94.5385,29.5712,6299.03,1989-10-15,1989-10-16,News,2,0,Tropical cyclone,1.0,77514
302,0,USA,0,-73.1368,44.2546,8896.71,1989-05-24,1989-05-26,News,151,336000,Extra-tropical cyclone,1.0,05473
304,0,USA,0,-93.4054,37.2492,320834.55,1989-06-02,1989-06-05,News,270,175000,Heavy rain,1.0,65781
347,0,USA,0,-87.1388,37.1913,54973.9,1989-08-04,1989-08-07,News,0,0,Heavy rain,1.0,42345
384,0,USA,0,-152.61,61.2749,15158.67,1989-12-15,1990-01-15,News,0,0,Heavy rain,1.0,
386,0,USA,0,-123.094,45.0135,86746.69,1990-01-09,1990-01-11,News,4,3000,Heavy rain,2.0,97304
390,0,USA,0,-91.1159,30.6182,7561.74,1990-01-26,1990-01-30,News,0,150,Heavy rain,1.0,70714
400,0,USA,0,-84.8524,31.07,162225.07,1990-03-16,1990-03-24,News,15,6000,Heavy rain,1.0,39845
408,0,USA,0,-95.1282,32.6703,277912.44,1990-04-26,1990-06-01,News,13,4668,Heavy rain,2.0,75755
416,0,USA,0,-90.7024,32.7316,4890.14,1990-05-31,1990-06-02,News,0,200,Torrential rain,2.0,39088
420,0,USA,0,-80.9321,40.2508,5167.77,1990-06-15,1990-06-16,News,26,440,Torrential rain,1.0,43907
424,0,USA,0,-89.3548,40.4346,31630.43,1990-06-20,1990-06-22,News,1,0,Heavy rain,1.0,61759
439,0,USA,0,-91.8472,42.3526,31886.96,1990-07-28,1990-08-04,News,0,0,Heavy rain,1.0,52329
444,0,USA,0,-71.7534,44.0063,20288.6,1990-08-07,1990-08-11,News,0,400,Heavy rain,1.0,03262
448,0,USA,0,-90.7101,41.5583,502367.64,1990-08-18,1990-08-24,News,0,4000,Heavy rain,1.0,52773
456,0,USA,0,-81.3044,39.4546,45800.49,1990-09-07,1990-09-09,News,5,300,Heavy rain,1.0,45773
465,0,USA,0,-81.5019,29.5249,76698.69,1990-10-04,1990-10-06,News,6,1500,Tropical cyclone,1.0,32181
481,0,USA,0,-121.84,48.038,23287.94,1990-11-10,1990-11-15,News,0,500,Heavy rain,1.0,98252
483,0,USA,0,-86.6825,40.9323,21311.21,1990-11-26,1990-11-30,News,2,1000,Heavy rain,1.0,46985
487,0,USA,0,-83.122,39.9139,177858.71,1990-12-31,1991-01-03,News,0,3500,Heavy rain,1.0,43119
499,0,USA,0,-157.952,21.537,875.511,1991-03-19,1991-03-25,News,0,200,Heavy rain,1.0,96717
504,0,USA,0,-97.6654,27.4406,32172.36,1991-04-05,1991-04-09,News,0,0,Heavy rain,1.0,78343
506,0,USA,0,-91.338,32.0501,119197.31,1991-04-28,1991-05-02,News,0,10000,Heavy rain,1.0,71357
509,0,USA,0,-147.426,64.8145,22130.06,1991-05-03,1991-05-07,News,2,800,Ice jam or ice break-up,1.0,99705
522,0,USA,0,-92.341,31.1619,78319.43,1991-06-11,1991-06-12,News,2,0,Torrential rain,1.0,71302
565,0,USA,0,-75.4917,40.0211,2578.11,1991-08-10,1991-08-12,News,0,200,Heavy rain,1.0,19355
567,0,USA,0,-97.4674,32.5172,14207.43,1991-08-12,1991-08-14,News,1,0,Heavy rain,1.0,76044
579,0,USA,0,-111.924,41.0624,24977.94,1991-09-05,1991-09-08,News,0,0,Heavy rain,2.0,84040
584,0,USA,0,-99.8947,28.8035,70880.61,1991-09-14,1991-09-16,News,0,0,Heavy rain,1.0,78839
593,0,USA,0,-80.4231,26.2763,10405.21,1991-10-08,1991-10-13,News,0,0,Heavy rain,1.0,33076
601,0,USA,0,-82.9024,40.0517,210359.75,1991-12-02,1991-12-03,News,4,0,Heavy rain,1.0,43230
606,0,USA,0,-159.554,22.0615,1319.59,1991-12-14,1991-12-16,News,3,200,Heavy rain,1.0,96741
608,0,USA,0,-95.9628,29.4697,7420.85,1991-12-18,1991-12-31,News,15,1800,Heavy rain,1.0,77417
623,0,USA,0,-118.115,34.0486,4604.18,1992-02-10,1992-02-12,News,8,0,Heavy rain,2.0,91755
629,0,USA,0,-95.3426,29.8372,6381.18,1992-03-04,1992-03-06,News,1,0,Heavy rain,1.0,77093
631,0,USA,0,-72.5285,44.2707,1311.44,1992-03-12,1992-03-14,News,0,0,Ice jam/break-up,2.0,05651
651,0,USA,0,-72.7314,41.5946,4609.14,1992-06-05,1992-06-06,News,0,250,Heavy rain,1.0,06023
661,0,USA,0,-91.874,39.309,33289.42,1992-06-30,1992-07-06,News,0,600,Heavy rain,1.0,65282
684,0,USA,0,-81.35,26.3061,68137.19,1992-08-26,1992-08-27,News,20,1800000,Extra-tropical cyclone,1.0,34142
693,0,USA,0,-159.539,22.064,2901.55,1992-09-10,1992-09-12,News,3,25000,Tropical cyclone,1.0,96741
715,0,USA,0,-85.1568,29.6764,83.3733,1992-11-29,1992-11-29,News,3,0,Tropical cyclone,1.0,32320
726,0,USA,0,-90.7209,29.9467,42375.04,1993-01-20,1993-01-21,News,0,200,Torrential rain,2.0,70090
732,0,USA,0,-113.753,32.8796,7406.56,1993-02-23,1993-03-06,News,1,1600,Heavy rain,1.0,85347
733,0,USA,0,-97.6983,41.7158,25231.12,1993-03-07,1993-03-12,News,2,1500,Snowmelt,1.0,68644
752,0,USA,Mexico,-88.8702,19.839,168818.57,1993-06-21,1993-06-23,News,9,12000,Heavy rain,1.0,
754,0,USA,0,-92.4812,40.3582,444971.26,1993-06-24,1993-08-23,News,48,31000,Heavy rain,2.0,63546
772,0,USA,0,-99.7646,41.6111,579.318,1993-08-21,1993-08-22,News,0,0,Heavy rain,2.0,68813
782,0,USA,0,-94.6207,36.764,31766.69,1993-09-22,1993-09-28,News,0,2500,Torrential rain,2.0,64865
799,0,USA,0,-91.5834,34.0563,33628.03,1993-11-13,1993-11-16,News,5,600,Heavy rain,2.0,71643
836,0,USA,0,-85.308,33.0034,179822.05,1994-03-24,1994-03-28,News,35,0,Torrential rain,1.0,36855
841,0,USA,0,-97.9613,36.8932,644301.28,1994-04-09,1994-04-18,News,6,4000,Rain and snowmelt,1.0,73771
853,0,USA,0,-83.6886,37.0272,13311.18,1994-06-22,1994-06-27,News,2,0,Heavy rain,1.0,40999
856,0,USA,0,-84.3318,31.07,167722.97,1994-07-01,1994-07-15,News,32,20000,Tropical cyclone,1.0,39827
905,0,USA,0,-95.2737,30.2009,72987.24,1994-10-17,1994-10-23,News,19,10000,Heavy rain,1.0,77302
927,0,USA,0,-122.59,39.6057,81499.15,1995-01-03,1995-01-17,News,11,6000,Heavy rain,1.0,95939
940,0,USA,0,-121.562,38.7256,196019.62,1995-03-08,1995-03-20,News,15,10000,Rain and snowmelt,1.0,95836
948,0,USA,0,-90.104,29.9011,19344.57,1995-05-07,1995-05-13,News,6,20000,Heavy rain,1.0,70115
950,0,USA,0,-89.5648,36.7237,472141.86,1995-05-10,1995-06-01,News,3,5000,Heavy rain,1.0,63867
979,0,USA,0,-82.5624,39.461,118253.11,1995-08-07,1995-08-18,News,4,1000,Heavy rain,1.0,43152
987,0,USA,0,-79.4656,33.6351,176800.72,1995-08-26,1995-08-29,News,8,300,Heavy rain,1.0,29580
1000,0,USA,0,-149.768,60.8522,50389.55,1995-09-18,1995-10-16,News,0,300,Heavy rain,2.0,99605
1017,0,USA,0,-84.3681,30.6405,203495.71,1995-10-04,1995-10-08,News,19,100000,Tropical cyclone,2.0,32333
1025,0,USA,0,-80.9927,26.6361,34849.1,1995-10-13,1995-10-28,News,0,600,Heavy rain,1.0,33440
1033,0,USA,0,-122.706,46.5287,111709.95,1995-11-28,1995-12-10,News,2,15000,Rain and snowmelt,2.0,98582
1046,0,USA,0,-79.1319,41.359,136058.51,1996-01-15,1996-01-21,News,35,200000,Snowmelt,1.0,15828
1056,0,USA,0,-120.002,45.5728,482618.13,1996-02-07,1996-02-13,News,7,24900,Heavy rain,1.0,97843
1070,0,USA,0,-88.025,39.1375,394867.84,1996-05-13,1996-05-20,News,3,2500,Heavy rain,1.0,62481
1071,,USA,,-81.1983,38.4217,63664.15,1996-05-13,1996-05-20,News,0,0,,1.0,25030
1081,0,USA,,-77.5231,39.6615,18336.02,1996-06-10,1996-06-30,News,0,0,Heavy rain,1.0,21783
1092,0,USA,0,-79.2426,40.99,53521.56,1996-07-18,1996-07-21,News,2,115,Heavy rain,2.0,16240
1109,0,USA,0,-78.5415,37.0785,293737.99,1996-09-05,1996-09-13,News,34,4000,Tropical Cyclone,1.0,23947
1116,0,USA,0,-100.889,36.0084,5542.29,1996-09-18,1996-09-20,News,0,0,Brief Torrential Rain,1.0,79081
1123,0,USA,0,-72.2832,42.3331,67013.98,1996-10-19,1996-10-23,News,5,700,Heavy Rain,2.0,01031
1140,0,USA,0,-122.188,46.4439,272684.55,1996-12-26,1997-01-03,News,10,50,Rain and snowmelt,1.0,98336
1141,0,USA,0,-120.663,37.544,156686.54,1997-01-01,1997-02-01,News,20,100000,Heavy rain,2.0,95316
1146,0,USA,0,-89.0638,41.8434,30332.64,1997-02-21,1997-02-25,News,0,700,Rain and snowmelt,1.0,60553
1149,0,USA,0,-84.7835,37.9384,179911.2,1997-02-28,1997-03-15,News,50,0,Heavy rain,2.0,40372
1151,0,USA,0,-122.426,47.0502,65906.03,1997-03-15,1997-03-19,News,4,600,Heavy rain,1.0,98387
1153,0,USA,0,-95.3809,45.9476,282467.25,1997-03-22,1997-04-25,News,0,50000,Heavy rain,2.0,56319
1166,0,USA,0,-104.97,40.3845,15184.9,1997-07-25,1997-08-01,News,5,400,Heavy rain,1.0,80534
1170,0,USA,0,-112.602,35.7791,7779.06,1997-08-10,1997-08-12,News,11,350,Heavy rain,1.0,
1210,0,USA,0,-120.005,41.2971,717982.08,1996-12-26,1997-01-03,News,23,110000,Heavy rain,1.0,96104
1237,0,USA,0,-97.4788,29.5364,155894.0,1997-06-19,1997-06-23,News,3,350,Heavy rain,1.0,78629
1264,0,USA,0,-83.6856,42.8444,16278.89,1997-06-30,1997-07-03,News,16,0,Heavy rain,1.0,48430
1292,0,USA,0,-96.9889,31.4835,54842.44,1997-12-18,1997-12-22,News,4,0,Heavy rain,1.0,76682
1301,0,USA,0,-80.5265,33.3837,265450.29,1998-02-03,1998-02-24,News,42,0,Tropical cyclone,1.0,29163
1302,0,USA,Mexico,-119.707,35.1755,63270.72,1998-02-03,1998-02-21,News,13,3500,Tropical cyclone,2.0,93224
1311,0,USA,0,-86.3593,32.6867,185209.85,1998-03-07,1998-03-13,News,11,18000,Heavy rain,2.0,36022
1324,0,USA,0,-82.2758,28.5031,19146.28,1998-03-20,1998-03-24,News,0,560,Heavy rain,2.0,34602
1325,0,USA,0,-82.0641,32.3567,39686.6,1998-03-21,1998-03-23,News,0,80,Heavy rain,1.0,30439
1329,0,USA,0,-71.0969,44.1028,46556.73,1998-03-31,1998-04-07,News,0,0,Snowmelt,2.0,03845
1335,0,USA,0,-84.3936,39.593,70592.46,1998-04-15,1998-04-17,News,0,0,Brief torrential rain,1.0,45042
1340,0,USA,0,-81.7676,35.5681,79602.78,1998-04-17,1998-04-21,News,2,1200,Heavy rain,1.0,28020
1348,0,USA,0,-95.4484,35.354,287302.14,1998-04-26,1998-04-28,News,4,0,Heavy rain,1.0,74432
1355,0,USA,0,-73.127,42.2478,1697.01,1998-05-08,1998-05-10,News,0,0,Heavy rain,2.0,01253
1356,0,USA,0,-75.1601,40.0212,15355.36,1998-05-11,1998-05-13,News,0,124,Heavy rain,1.0,19144
1385,0,USA,0,-70.6583,44.0151,19951.35,1998-06-13,1998-06-19,News,1,0,Heavy rain,2.0,04055
1401,0,USA,0,-93.0881,39.7927,73860.39,1998-06-13,1998-06-17,News,0,1000,Heavy rain,2.0,64628
1402,0,USA,0,-120.452,37.384,4080.72,1998-06-14,1998-06-15,News,0,0,Snowmelt,1.0,95340
1409,0,USA,0,-71.8819,44.1768,18116.79,1998-06-24,1998-07-01,News,21,11000,Brief torrential rain,2.0,03585
1373,0,USA,0,-120.297,44.5387,26249.5,1998-05-28,1998-06-03,News,0,1600,Heavy rain,1.0,97750
1425,0,USA,0,-88.0318,42.211,54155.77,1998-08-04,1998-08-06,News,2,600,Brief torrential rain,2.0,60047
1432,0,USA,Mexico,-98.3212,26.56,90194.84,1998-08-22,1998-08-27,News,17,1750,Tropical cyclone,2.0,78536
1433,0,USA,0,-77.4251,35.0976,42372.92,1998-08-27,1998-08-29,News,2,17000,Tropical cyclone,1.0,28585
1437,0,USA,0,-84.6151,30.511,29738.8,1998-09-03,1998-09-03,News,3,65,Brief torrential rain,1.0,32351
1441,0,USA,0,-92.5707,29.6764,60557.25,1998-09-11,1998-09-14,News,1,17,Tropical cyclone,1.0,70542
1447,0,USA,0,-87.05,30.6642,214764.31,1998-09-15,1998-09-16,News,4,0,Tropical cyclone,1.0,32570
1448,0,USA,0,-94.1557,38.9567,6064.27,1998-10-06,1998-10-07,News,11,0,Heavy rain,1.0,64075
1459,0,USA,0,-98.3901,29.4084,20712.8,1998-10-17,1998-10-23,News,29,5300,Heavy rain,2.0,78220
1465,0,USA,0,-95.4115,36.7439,50302.57,1998-10-30,1998-10-31,News,1,2000,Heavy rain,1.0,74048
1470,0,USA,0,-95.4957,30.8786,15178.46,1998-11-13,1998-11-15,News,0,100,Heavy rain,1.0,77320
1479,0,USA,0,-121.499,45.7332,105292.02,1998-12-27,1998-12-30,News,0,70,Heavy rain,1.0,98651
1485,0,USA,,-86.4337,39.2186,18264.99,1999-01-04,1999-01-10,News,0,0,0,1.0,47408
