Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
01253,2001,,100.0,,
01253,2002,9.38,109.38,,
01253,2003,2.17,111.75,,
01253,2004,21.8,136.12,,
01253,2005,8.09,147.13,,
01253,2006,12.92,166.14,,
01253,2007,-2.73,161.6,,
01253,2008,-1.61,159.0,,
01253,2009,-2.66,154.77,,
01253,2010,0.33,155.28,,
01253,2011,-7.47,143.67,,
01253,2012,-1.76,141.15,,
01253,2013,0.46,141.8,,
01253,2014,-7.54,131.1,,
01253,2015,13.62,148.96,,
01253,2016,-3.79,143.32,,
01253,2017,1.06,144.83,,
01253,2018,3.73,150.23,,
01253,2019,4.58,157.11,,
01253,2020,1.53,159.51,,
01253,2021,11.49,177.84,,
01253,2022,14.43,203.51,,
01253,2023,14.86,233.75,,
01253,2024,16.07,271.32,,
01749,1983,,100.0,49.15,35.07
01749,1984,33.49,133.49,65.62,46.82
01749,1985,21.18,161.76,79.51,56.73
01749,1986,17.6,190.23,93.51,66.72
01749,1987,8.36,206.14,101.33,72.29
01749,1988,6.38,219.3,107.79,76.91
01749,1989,0.24,219.82,108.05,77.09
01749,1990,-7.45,203.44,100.0,71.35
01749,1991,-6.53,190.15,93.47,66.69
01749,1992,-1.72,186.88,91.86,65.54
01749,1993,-1.17,184.68,90.78,64.77
01749,1994,1.23,186.96,91.9,65.57
01749,1995,0.9,188.63,92.72,66.15
01749,1996,5.03,198.12,97.39,69.48
01749,1997,4.16,206.36,101.44,72.37
01749,1998,5.48,217.67,106.99,76.34
01749,1999,8.93,237.1,116.54,83.15
01749,2000,20.26,285.14,140.16,100.0
01749,2001,12.95,322.05,158.3,112.95
01749,2002,9.78,353.55,173.79,123.99
01749,2003,5.4,372.64,183.17,130.69
01749,2004,9.04,406.34,199.74,142.5
01749,2005,10.72,449.89,221.14,157.78
01749,2006,-1.46,443.34,217.92,155.48
01749,2007,-1.52,436.6,214.61,153.12
01749,2008,-6.23,409.39,201.24,143.58
01749,2009,-7.04,380.58,187.08,133.47
01749,2010,-2.73,370.21,181.98,129.83
01749,2011,-2.77,359.95,176.93,126.24
01749,2012,-3.29,348.12,171.12,122.09
01749,2013,2.76,357.72,175.84,125.45
01749,2014,7.21,383.51,188.51,134.5
01749,2015,2.06,391.41,192.4,137.27
01749,2016,5.25,411.97,202.5,144.48
01749,2017,7.01,440.84,216.69,154.6
01749,2018,6.2,468.17,230.13,164.19
01749,2019,2.12,478.11,235.01,167.67
01749,2020,3.69,495.74,243.68,173.86
01749,2021,10.38,547.21,268.98,191.91
01749,2022,16.53,637.68,313.45,223.64
01749,2023,8.45,691.54,339.93,242.53
01749,2024,2.08,705.95,347.01,247.58
03448,2003,,100.0,,
03448,2004,21.66,121.66,,
03448,2005,0.5,122.27,,
03448,2006,21.8,148.92,,
03448,2007,6.46,158.54,,
03448,2008,-18.07,129.89,,
03448,2009,3.36,134.26,,
03448,2010,-18.39,109.57,,
03448,2011,10.7,121.29,,
03448,2012,-3.21,117.4,,
03448,2013,-0.83,116.43,,
03448,2014,3.85,120.91,,
03448,2015,-16.83,100.56,,
03448,2016,19.34,120.0,,
03448,2017,-7.38,111.14,,
03448,2018,,,,
03448,2019,,,,
03448,2020,,137.55,,
03448,2021,9.26,150.28,,
03448,2022,,,,
03448,2023,,,,
03448,2024,,,,
03583,2009,,100.0,,
03583,2010,0.27,100.27,,
03583,2011,-7.62,92.62,,
03583,2012,9.47,101.4,,
03583,2013,-9.07,92.2,,
03583,2014,,,,
03583,2015,,93.73,,
03583,2016,,,,
03583,2017,,95.09,,
03583,2018,19.15,113.3,,
